Full Management address,Service Name,Service Number,Enrollment total,Max licensed positions total,Count Service Number,Owner name,Funder name,Company source link,Owner source link,Additional source if necessary,Methodology to link,Notes
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Kereru Marae Kōhanga Reo,52763,20,50,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Kōkiri Marae Te Kōhanga Reo,64034,59,75,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Koraunui Te Kōhanga Reo,60072,0,25,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Ngā Oho Mata Kamo Kamo Te Kōhanga Reo o Korongata,55182,17,27,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Paparakau Te Kōhanga Reo,64018,24,30,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te  Kōhanga Reo o Te Whānau o Piopio,35070,16,15,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Heti Te Kohanga Reo,52725,60,100,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Hono ki Kōkiri Te Kōhanga Reo,64035,18,25,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga  Reo o Te Paa Harakeke,25310,22,33,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Amorangi o Whakawātea,30353,27,40,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
