service_number,service_name,telephone,email,service_address,street,suburb,town_city,service_type,definition,authority,x20_hours_ece,kme_peak_body,takiwa,equity_index_eqi,territorial_authority,urban_rural,regional_council,education_region,general_electorate,maori_electorate,neighbourhood_sa2_code,neighbourhood_sa2,ward,management_contact_name,full_management_address,management_postal_address,management_postal_suburb,management_postal_city,management_contact_phone,community_of_learning_id,community_of_learning_name,latitude,longitude,max_licenced_positions,max_under_2_s,age_0,age_1,age_2,age_3,age_4,age_5,total,european_pakeha,maori,pacific,asian,other
5001,Anne West Kindergarten,09-408 1110,richard@nka.org.nz,"92 Pukepoto Road,  Kaitaia",92 Pukepoto Road,,Kaitaia,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI 2,Far North District,Small urban area,Northland Region,Tai Tokerau,Northland,Te Tai Tokerau,100800,Kaitaia West,Te Hiku Ward,Richard Storey,"P O Box 4005, Kamo Whangarei 0141",P O Box 4005,Kamo,Whangarei 0141,09-435 9099,,,-35.11822807,173.2585646,30,0,0,0,4,10,17,0,31,16,22,1,5,0
5002,Doubtless Bay Kindergarten,09-406 0138,richard@nka.org.nz,"5 E Mamaru Road,  Taipa",5 E Mamaru Road,,Taipa,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI 3,Far North District,Rural settlement,Northland Region,Tai Tokerau,Northland,Te Tai Tokerau,101100,Taumarumaru,Te Hiku Ward,Richard Storey,"P O Box 4005, Kamo Whangarei 0141",P O Box 4005,Kamo,Whangarei 0141,09-435 9099,99051,Te Kāhui Tai Kura o Te Hiku,-34.99447774,173.4647298,30,0,0,0,0,6,26,3,35,32,16,4,3,1
5003,Mission Place Kindergarten,09-4082444,richard@nka.org.nz,"Mission Place,  Kaitaia",Mission Place,,Kaitaia,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI 3,Far North District,Small urban area,Northland Region,Tai Tokerau,Northland,Te Tai Tokerau,100700,Kaitaia East,Te Hiku Ward,Richard Storey,"P O Box 4005, Kamo Whangarei 0141",P O Box 4005,Kamo,Whangarei 0141,09-435 9099,,,-35.11607993,173.2706854,30,0,0,0,5,12,14,2,33,23,23,6,0,0
5004,Hillcrest Kindergarten,09-4010548,richard@nka.org.nz,"Cnr Park & Hillcrest Roads,  Kaikohe",Cnr Park & Hillcrest Roads,,Kaikohe,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI 2,Far North District,Small urban area,Northland Region,Tai Tokerau,Northland,Te Tai Tokerau,103500,Kaikohe,Kaikohe-Hokianga Ward,Richard Storey,"P O Box 4005, Kamo Whangarei 0141",P O Box 4005,Kamo,Whangarei 0141,09-435 9099,99060,Te Arahura Community of Learning,-35.40555313,173.7964095,30,0,0,0,2,13,15,0,30,15,27,2,2,0
5006,Waitangi Kindergarten,09-4027365,richard@nka.org.nz,"Te Kemara Avenue,  Paihia",Te Kemara Avenue,,Paihia,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI 4,Far North District,Small urban area,Northland Region,Tai Tokerau,Northland,Te Tai Tokerau,103900,Paihia,Bay of Islands-Whangaroa Ward,Richard Storey,"P O Box 4005, Kamo Whangarei 0141",P O Box 4005,Kamo,Whangarei 0141,09-435 9099,99117,Peowhairangi Community of Learning,-35.27812057,174.081808,30,0,0,0,13,10,11,1,35,17,20,3,2,0
5007,Dargaville Free Kindergarten,09-4398875,richard@nka.org.nz,"Portland Street,  Dargaville",Portland Street,,Dargaville,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI 4,Kaipara District,Small urban area,Northland Region,Tai Tokerau,Northland,Te Tai Tokerau,109300,Dargaville,Dargaville Ward,Richard Storey,"P O Box 4005, Kamo Whangarei 0141",P O Box 4005,Kamo,Whangarei 0141,09-435 9099,99185,Northern Wairoa Kāhui Ako,-35.93980424,173.8683266,40,0,0,0,0,13,27,0,40,37,21,5,2,0
5008,Ruawai Kindergarten,09-4392415,richard@nka.org.nz,"4376A State Highway 12,  Ruawai",4376A State Highway 12,,Ruawai,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI > 5,Kaipara District,Rural other,Northland Region,Tai Tokerau,Northland,Te Tai Tokerau,109400,Ruawai-Matakohe,West Coast-Central Ward,Richard Storey,"P O Box 4005, Kamo Whangarei 0141",P O Box 4005,Kamo,Whangarei 0141,09-435 9099,99185,Northern Wairoa Kāhui Ako,-36.12221193,174.0114016,40,0,0,0,2,26,20,2,50,44,14,4,2,0
5009,Selwyn Park Kindergarten,09-4397519,richard@nka.org.nz,"31 McKay Cresent,  Dargaville",31 McKay Cresent,,Dargaville,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI 2,Kaipara District,Small urban area,Northland Region,Tai Tokerau,Northland,Te Tai Tokerau,109300,Dargaville,Dargaville Ward,Richard Storey,"P O Box 4005, Kamo Whangarei 0141",P O Box 4005,Kamo,Whangarei 0141,09-435 9099,99185,Northern Wairoa Kāhui Ako,-35.93317017,173.8750223,30,0,0,0,0,8,20,2,30,10,22,8,3,0
5010,Forest View Kindergarten,09-4372965,richard@nka.org.nz,"215 Kiripaka Road, Tikipunga Whangarei",215 Kiripaka Road,Tikipunga,Whangarei,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI 4,Whangarei District,Large urban area,Northland Region,Tai Tokerau,Whangarei,Te Tai Tokerau,106200,Tikipunga North,Denby Ward,Richard Storey,"P O Box 4005, Kamo Whangarei 0141",P O Box 4005,Kamo,Whangarei 0141,09-435 9099,99182,Te Tai Raki Whangarei Kāhui Ako,-35.68440414,174.3300543,40,0,0,0,1,15,21,2,39,26,20,2,2,0
5011,First Ave Hora Hora Kindergarten,09-4387053,richard@nka.org.nz,"43 A First Avenue, Whangarei CBD Whangarei",43 A First Avenue,Whangarei CBD,Whangarei,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI 4,Whangarei District,Large urban area,Northland Region,Tai Tokerau,Whangarei,Te Tai Tokerau,107000,Woodhill-Vinetown,Okara Ward,Richard Storey,"P O Box 4005, Kamo Whangarei 0141",P O Box 4005,Kamo,Whangarei 0141,09-435 9099,99181,Ngā Kura mo te ako o Whangarei Kāhui Ako Group 2,-35.72912422,174.313153,40,0,0,0,7,15,20,0,42,23,14,3,11,0
