owner_name,count,license_total,enrollment_total,enrollment_difference
BestStart Educare Limited,260,18110,17807,303
Evolve Education Group Limited,99,6717,5377,1340
Busy Bees,84,6466,6139,327
Kindercare Learning Centres Limited,51,4470,4165,305
Early Education Waikato Limited,38,1871,2047,-176
Educare Group Limited,23,1809,1269,540
New Shoots Limited,17,1700,1670,30
Nurtured at Home,23,1633,979,654
No-1 Property Limited,19,1280,762,518
Go Bananas Childcare Limited,16,1036,682,354
Edubase Limited,17,904,690,214
Blossoms Educare Limited,11,891,743,148
The Care Collective,11,795,522,273
Kids World Childcare Limited,14,771,707,64
Bear Park Limited,10,731,739,-8
Rock My Baby Limited,11,582,320,262
ACG Early Childhood Education Group Limited,6,581,465,116
Grow Canterbury Limited,6,581,547,34
Kids Count Limited,6,576,545,31
TE PŪKENGA WORK BASED LEARNING LIMITED,9,570,442,128
Childcare & Learning Group (NZ) Limited,9,557,548,9
Learning Links Childcare Limited,8,552,461,91
About Kids Homebase Limited,10,551,602,-51
Education Angels in Home Childcare Limited,9,535,281,254
Tiny Voices ECE Limited,5,527,402,125
Api Fakakoloa Educational Services Limited dba Api Fakakoloa Home Base Educational Services,8,500,304,196
Annabel's Educare Limited,8,488,485,3
MyKindy Limited,6,465,273,192
Solve Education Limiited dba Pasifika Early Learning,7,392,247,145
Chrysalis Group Limited,4,380,321,59
Cutekids 2020 Limited,8,350,215,135
R & D Education Limited,3,344,373,-29
Angelican Care Waiapu Limited,8,329,429,-100
KIDDZ 2000 Limited dba KIDDZ Homebased Early Childhood Education service,4,320,156,164
Paua Early Childhood Home Based Care Service,5,320,105,215
Scallywaggs 2007 LTD,8,311,469,-158
Scribbles Early Education Centre Limited,3,305,220,85
Poimaino Homebased Childcare Services Limited,6,300,221,79
Kids' Cove Limited,3,287,180,107
Above and Beyond Tauriko Limited,4,284,312,-28
GGG Limited,3,283,284,-1
Little Magpies Childcare Services Limited,3,280,196,84
Co-Kids Limited,3,272,236,36
Little Feet Childcare Centre Limited,3,268,99,169
Peacocks Limited dba Peacocks Early Learning Centre,3,266,208,58
Parkdale Holdings Limited,3,255,302,-47
Fruition Education Limited dba Community KIDS Early Learning Centres,5,254,219,35
Pukeko Preschool Group,5,252,233,19
Magic Sparks Care and Learning Limited,4,251,179,72
Junior Junction Limited,3,250,215,35
Kiwico Educare Limited,4,242,227,15
Little Climbers Limited dba Little Climbers Home Based Education and Childcare,6,242,207,35
Stems from Home Limited dba Stems from Home Ltd,3,240,133,107
Karaka Learning Centre Limited,2,230,160,70
Seedlings Homebased Education Limited,4,230,150,80
Napier Family Centre,3,222,127,95
Starship Hospital,8,222,0,222
Home2Grow Childcare Limited,3,220,126,94
Elfa Learning Limited,4,211,188,23
NURTURE@HOME,3,210,179,31
Wellington Childcare Limited,3,209,195,14
Kiwi Supertots Learning Centre Limited dba Kiwi Supertots,3,208,134,74
Peppertree Preschool Limited dba Peppertree Preschool,4,208,263,-55
Te Wananga o Aotearoa,4,208,138,70
Kidz World Child Care & Learning Centre Limited,3,205,147,58
Essential Educational Solutions Limited dba Galaxy Childcare,4,203,159,44
Jam Jar Education Limited,4,203,190,13
University of Auckland,4,203,180,23
Our Kids Early Learning Centre Limited,4,194,166,28
Jemma's Homebased Childcare Limited dba JeMMa's Homebased Childcare,3,193,89,104
Mauri Whanau Limited,3,180,49,131
Wee Nippers (Mosgiel) Limited,2,180,186,-6
Greaskie 2013 Limited,3,173,140,33
Play and Learn Early Education Centres Limited,4,163,164,-1
Glorious Kids Homebased Childcare Limited,3,160,105,55
JFIT Burrage Limited dba Dream Au Pair,3,160,168,-8
Three Little Birds Childcare and Education Limited,4,155,141,14
Childspace Limited,4,147,154,-7
Massey Childcare Centre Inc,2,142,120,22
Kingsway Educational Services Limited dba Kingsway Preschool,3,140,131,9
"Nga Reo O Te Rito Limited dba Te Rito, Te Kāinga Reo",3,140,87,53
Paeroa Early Learning Centre,3,140,119,21
Immanuel Education and Care Limited,4,139,111,28
Bizzy Bodz Educare Limited,3,137,109,28
Auckland City Council,4,132,131,1
Aspire Learning Limited dba ASPIRE Learning: Home Based Childcare,3,130,106,24
Bizzy Buddyz Limited,2,130,81,49
Next Generation Childcare Company Limited,4,130,113,17
Kaliloa Education Limited,3,120,66,54
Little School Limited,4,120,129,-9
Prebbleton Childcare Limited,3,120,139,-19
Pearl Educare Limited,2,118,126,-8
Bays Montessori Limited,3,117,100,17
Spring Education Limited dba Frederick Street Kindergarten,3,117,80,37
Pebbles Preschool Limited dba Pebbles Preschool,3,115,130,-15
Blessings for Life Limited,3,108,121,-13
CTA Enterprises Limited,4,106,107,-1
Boomidar Limited,4,105,176,-71
Kidzone Limited,3,104,96,8
Trend Tots Limited,2,100,52,48
Muddy Toes ELC Limited,3,95,100,-5
Montessori House Limited,3,94,95,-1
Kowhai Consulting Services Limited,3,93,103,-10
VJDJ Limited,3,92,130,-38
Te Kōhao Health,2,90,99,-9
Kids at Play Limited dba Kids at Play Temuka,3,88,74,14
Anand Isher Educational and Community Trust dba AIEC Trust,2,87,66,21
Kieter Geckos ELC Limited,3,72,67,5
Grace Christian Community Preschool Limited,1,57,33,24
Happy Tots Limited dba Happy Tots In-Home Childcare,5,0,340,-340
