service_number,service_name.x,telephone,email,service_address,street,suburb,town_city,service_type,definition,x20_hours_ece,equity_index_eqi,education_region,management_contact_name,full_management_address.x,management_postal_address,management_postal_suburb,management_postal_city,management_contact_phone,latitude,longitude,max_licenced_positions,max_under_2_s,age_0,age_1,age_2,age_3,age_4,age_5,total,european_pakeha,maori,pacific,asian,other,full_management_address.y,service_name.y,enrollment_total,max_licensed_positions_total,owner_name,funder_name,company_source_link,owner_source_link,additional_source_if_necessary,methodology_to_link,notes
5134,Aberdeen Kindergarten,07-8477753,ceo@kindergarten.org.nz,"50 Aberdeen Drive, Hamilton Central Hamilton",50 Aberdeen Drive,Hamilton Central,Hamilton,Free Kindergarten,,Yes,EQI > 5,Waikato,Edna Frame,"P O Box 4311,  Hamilton 3247",P O Box 4311,,Hamilton 3247,07-856 4649,-37.78904441,175.2444472,45,0,0,0,2,21,27,5,55,38,15,4,10,1,"P O Box 4311,  Hamilton 3247",Aberdeen Kindergarten,55,45,Early Education Waikato Limited,Waikato Kindergarten Association,https://www.kindergarten.org.nz/contact-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/1634630,https://opencorporates.com/companies/nz/1634630,Waikato Kindergarten Association sourced through Early Education Waikato Limited,
5135,Bellmont Avenue Kindergarten,07-8552669,ceo@kindergarten.org.nz,"37 Bellmont Avenue, Hamilton Central Hamilton",37 Bellmont Avenue,Hamilton Central,Hamilton,Free Kindergarten,,Yes,EQI 4,Waikato,Edna Frame,"P O Box 4311,  Hamilton 3247",P O Box 4311,,Hamilton 3247,07-856 4649,-37.75520057,175.2786018,30,0,0,0,6,8,11,3,28,7,13,10,3,2,"P O Box 4311,  Hamilton 3247",Bellmont Avenue Kindergarten,28,30,Early Education Waikato Limited,Waikato Kindergarten Association,https://www.kindergarten.org.nz/contact-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/1634630,https://opencorporates.com/companies/nz/1634630,Waikato Kindergarten Association sourced through Early Education Waikato Limited,
5136,Cambridge Kindergarten,07-8276250,ceo@kindergarten.org.nz,"104 Victoria Street,  Cambridge",104 Victoria Street,,Cambridge,Free Kindergarten,,Yes,EQI > 5,Waikato,Edna Frame,"P O Box 4311,  Hamilton 3247",P O Box 4311,,Hamilton 3247,07-856 4649,-37.88771406,175.4662449,40,0,0,0,7,22,23,3,55,49,6,0,3,3,"P O Box 4311,  Hamilton 3247",Cambridge Kindergarten,55,40,Early Education Waikato Limited,Waikato Kindergarten Association,https://www.kindergarten.org.nz/contact-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/1634630,https://opencorporates.com/companies/nz/1634630,Waikato Kindergarten Association sourced through Early Education Waikato Limited,
5137,Chartwell Kindergarten,07-8553721,ceo@kindergarten.org.nz,"Herbert Road, Chartwell Hamilton",Herbert Road,Chartwell,Hamilton,Free Kindergarten,,Yes,EQI > 5,Waikato,Edna Frame,"P O Box 4311,  Hamilton 3247",P O Box 4311,,Hamilton 3247,07-856 4649,-37.75189653,175.2702364,45,0,0,0,8,16,20,0,44,30,5,2,13,5,"P O Box 4311,  Hamilton 3247",Chartwell Kindergarten,44,45,Early Education Waikato Limited,Waikato Kindergarten Association,https://www.kindergarten.org.nz/contact-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/1634630,https://opencorporates.com/companies/nz/1634630,Waikato Kindergarten Association sourced through Early Education Waikato Limited,
5138,Deanwell Kindergarten,07-8437570,ceo@kindergarten.org.nz,"26 Anderson Road, Hamilton Central Hamilton",26 Anderson Road,Hamilton Central,Hamilton,Free Kindergarten,,Yes,EQI > 5,Waikato,Edna Frame,"P O Box 4311,  Hamilton 3247",P O Box 4311,,Hamilton 3247,07-856 4649,-37.82025369,175.2785685,40,0,0,0,12,26,14,0,52,16,10,3,32,0,"P O Box 4311,  Hamilton 3247",Deanwell Kindergarten,52,40,Early Education Waikato Limited,Waikato Kindergarten Association,https://www.kindergarten.org.nz/contact-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/1634630,https://opencorporates.com/companies/nz/1634630,Waikato Kindergarten Association sourced through Early Education Waikato Limited,
5139,Dinsdale Kindergarten,07-8478520,ceo@kindergarten.org.nz,"84 Bremworth Avenue, Dinsdale Hamilton",84 Bremworth Avenue,Dinsdale,Hamilton,Free Kindergarten,,Yes,EQI > 5,Waikato,Edna Frame,"P O Box 4311,  Hamilton 3247",P O Box 4311,,Hamilton 3247,07-856 4649,-37.7979056,175.2349677,40,0,0,0,9,17,19,3,48,37,7,3,5,4,"P O Box 4311,  Hamilton 3247",Dinsdale Kindergarten,48,40,Early Education Waikato Limited,Waikato Kindergarten Association,https://www.kindergarten.org.nz/contact-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/1634630,https://opencorporates.com/companies/nz/1634630,Waikato Kindergarten Association sourced through Early Education Waikato Limited,
5140,Fairfield Kindergarten,07-8556300,ceo@kindergarten.org.nz,"29 Kenney Crescent, Fairfield Hamilton",29 Kenney Crescent,Fairfield,Hamilton,Free Kindergarten,,Yes,EQI 2,Waikato,Edna Frame,"P O Box 4311,  Hamilton 3247",P O Box 4311,,Hamilton 3247,07-856 4649,-37.76582896,175.2862274,45,0,0,0,12,12,18,1,43,15,24,9,4,8,"P O Box 4311,  Hamilton 3247",Fairfield Kindergarten,43,45,Early Education Waikato Limited,Waikato Kindergarten Association,https://www.kindergarten.org.nz/contact-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/1634630,https://opencorporates.com/companies/nz/1634630,Waikato Kindergarten Association sourced through Early Education Waikato Limited,
5141,Frankton Kindergarten,07-8475719,ceo@kindergarten.org.nz,"181 Massey Street, Frankton Hamilton",181 Massey Street,Frankton,Hamilton,Free Kindergarten,,Yes,EQI 4,Waikato,Edna Frame,"P O Box 4311,  Hamilton 3247",P O Box 4311,,Hamilton 3247,07-856 4649,-37.79278046,175.251926,47,0,0,0,3,11,27,1,42,19,18,6,11,1,"P O Box 4311,  Hamilton 3247",Frankton Kindergarten,42,47,Early Education Waikato Limited,Waikato Kindergarten Association,https://www.kindergarten.org.nz/contact-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/1634630,https://opencorporates.com/companies/nz/1634630,Waikato Kindergarten Association sourced through Early Education Waikato Limited,
5142,Galbraith Kindergarten,07-8248976,ceo@kindergarten.org.nz,"Herschel Street,  Ngaruawahia",Herschel Street,,Ngaruawahia,Free Kindergarten,,Yes,EQI 4,Waikato,Edna Frame,"P O Box 4311,  Hamilton 3247",P O Box 4311,,Hamilton 3247,07-856 4649,-37.66542228,175.145296,40,0,0,0,14,16,15,2,47,44,22,0,6,2,"P O Box 4311,  Hamilton 3247",Galbraith Kindergarten,47,40,Early Education Waikato Limited,Waikato Kindergarten Association,https://www.kindergarten.org.nz/contact-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/1634630,https://opencorporates.com/companies/nz/1634630,Waikato Kindergarten Association sourced through Early Education Waikato Limited,
5143,Grandview Kindergarten,07-8475360,ceo@kindergarten.org.nz,"106 Grandview Road, Nawton Hamilton",106 Grandview Road,Nawton,Hamilton,Free Kindergarten,,Yes,EQI 3,Waikato,Edna Frame,"P O Box 4311,  Hamilton 3247",P O Box 4311,,Hamilton 3247,07-856 4649,-37.77961931,175.2370224,40,0,0,0,7,14,20,2,43,25,19,6,10,1,"P O Box 4311,  Hamilton 3247",Grandview Kindergarten,43,40,Early Education Waikato Limited,Waikato Kindergarten Association,https://www.kindergarten.org.nz/contact-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/1634630,https://opencorporates.com/companies/nz/1634630,Waikato Kindergarten Association sourced through Early Education Waikato Limited,
